source_interval,image_size,image_discrepancy,normalized_image_discrepancy,iteration_depth
"[2048,2147] J",100,-33,0.49253731,1
"[2048,2247] Y",100,0,0.0,1
"[2048,2247] J",200,-15,0.12820513,1
"[2048,2547] Y",250,-2,0.01470588,1
"[2048,2547] J",500,-38,0.14285714,1
"[2048,3047] Y",500,-23,0.09311741,1
"[2048,3047] J",1000,-72,0.14634146,1
"[2048,4047] Y",1000,-10,0.01984127,1
"[2048,4047] J",2000,-5,0.0049554,1
"[2048,12047] Y",5000,-61,0.02425447,1
"[2048,102047] Y",50000,-83,0.00332253,1
"[4096,4115] Y",10,-2,1.0,1
"[4096,4115] J",20,-2,1.0,1
"[4096,4145] Y",25,0,0.0,1
"[4096,4145] J",50,0,0.0,1
"[4096,4195] Y",50,-6,0.375,1
"[4096,4195] J",100,-6,0.375,1
"[4096,4295] Y",100,-11,0.28205128,1
"[4096,4295] J",200,24,0.32432432,1
