n,trajectory_step,observed_Z,predicted_Z,vertical_error,branch,exact_state_reference
2183,35,0.967957,0.753621,0.214336,E,1107544544015788803212895791569998697456843452463812471129406937297962015507192231858705523161417052489990831428050824952265097294984093044753269927671876877642805631670018495789236455988230086435059175147213730899650313718286196137723227506480373517087385085778188976415386759819138719755199676860390769841583625147896252919973624517019164519650982714147822283597297037909921282105685092543149102600163362436098804909911654548424076906225056282976702574971932120873407161009580841302358421444361788999526508789132132585089622938866237685902126967405896188398023885092369568461853790750731859555476957981064324640564837817889808119555257089885252817800811590252048172955787366497356379331501124867070642782260917861075425227097192568832427895
2183,36,1.020694,0.734912,0.285782,O,36858851863431511252272654197539877803054487526333963185911049171687235479917507318316570463509011303766387564659012796510183290411291359694207796148470371294783604019049804773786475563498378467317866191729704469277881848864122567622769780346238652377515736570993693299768870109390620934699561205882380421125790070888487400343931738405210406498497760056634963229202273304997032412101828285839080076604402473554649650767705958445929197994099290840055355474215997704377872189239203646370441314678423365484345889672945390200810849770836676862501124916369070333227140917336160819826164263588973112979687036011694943564588906546718376847277968325346265326159970087253986965156408947675507850858078495383529100096530705405461863743234120271745076391304065951566397073257444264188093559778039934896595947912897801320827885384449016412858440180352940319199179543129954153678397617885261765886716358230736613539393784510548781743455418563166302517602387012764562596070257010797033283345241449653097611085308608062414681082900056770804637944372518329249146844177468993500581627441022952122369679250010932080360589509517205
2183,37,1.073431,0.716203,0.357227,O,bits=5539
2183,38,1.126167,0.697494,0.428673,O,bits=8309
2183,39,1.036013,0.678786,0.357227,E,bits=4155
2183,40,0.945859,0.660077,0.285782,E,18037642046971479721433050139654518162077496125671642915084355217957275271423670305240032687211503447167278900555699749891854966004286673383233947567596560009227815913372972312696961761289796274999755387951306578204322267448324958496667510540916835963501793285730384298416828092108046435143025892794033355505059127568199225777914091127087498682713906154303970113013791375782256248904124590119536713817484526489070639235143387673434821695325602674883260054153543389472608861214194216935957117920555922217695497641000658386991285436838117245886821984597055090531044252125480212599468832719533630637782850801494587395834456275444
2183,41,0.855705,0.641368,0.214336,E,4247074528068877639604763018938126171601034002508150760722517872925153786880168908857397820522263555198846047728019235134897282304147282127698769505788757146118427992200240566445588104395861774510915655565545712047109560546118576595567779697840077218500022926228004041109682380106240062189579385989860990352229158
2183,42,0.76555,0.62266,0.142891,E,2060843159502653088689536439237828283996728931748360658410559767879134768434889073875439339636272943191936325096875264721018139478118005547474819056844781048
2183,43,0.675396,0.603951,0.071445,E,1435563707921962301614358781515149578425767863172365491346337337045279727006304
2183,44,0.585242,0.585242,-0.0,E,1198150119109438765828967854924104846749
2183,45,0.637979,0.566533,0.071445,O,41473133805343028295923545003949376098891821374655745965604
2183,46,0.547824,0.547825,-0.0,E,203649536717722557886893184240
2183,47,0.45767,0.529116,-0.071446,E,451275455478937
2183,48,0.510407,0.510407,-0.0,O,9586555035066795204352
2183,49,0.420253,0.491699,-0.071446,E,97910954622
2183,50,0.330098,0.47299,-0.142892,E,312907
2183,51,0.382835,0.454281,-0.071446,O,175034201
2183,52,0.435572,0.435573,-0.0,O,2315711085392
2183,53,0.345418,0.416864,-0.071446,E,1521746
2183,54,0.255255,0.398155,-0.1429,E,1233
2555,0,0.262558,0.262558,-0.0,,2555
2555,1,0.314237,0.279231,0.035006,O,129147
2555,2,0.365916,0.295904,0.070013,O,46411593
2555,3,0.417596,0.312577,0.105019,O,316183871355
2555,4,0.469275,0.329249,0.140025,O,177790916615318586
2555,5,0.380929,0.345922,0.035006,E,421652601
2555,6,0.432608,0.362595,0.070013,O,8658290947761
2555,7,0.484287,0.379268,0.105019,O,25476998600397455541
2555,8,0.535966,0.395941,0.140025,O,128594500197253639394068409037
2555,9,0.587645,0.412614,0.175032,O,46114084628407891095488982605034866828947667
2555,10,0.639325,0.429287,0.210038,O,313148537945997462116140608587634826371989158521323553453288059383
2555,11,0.691004,0.445959,0.245044,O,175236908392661795223843419483900192552045645843853229572648911231457986732364023094752279896941057
2555,12,0.742683,0.462632,0.280051,O,2319734993012207108367125923074562412513592392812414529139113512120858794152165441527709394008376157974552867426087082019407137774079352676319588781
2555,13,0.794362,0.479305,0.315057,O,111726851597724154402372066094702937615895279360944813081742605334455851265498143885948847474771119500377612065000835469740138991585110956104817993594888931633008030214686109197917858092280118176792585385539524872873889233
2555,14,0.846041,0.495978,0.350063,O,37345333415603980160595973014091557017173071737184785533415255549057028321515520016126148025015266238744699846931402744425186580749823886965823342447019690246036035073656578025732037864509647155903752256941120010851436026156408470420085764556719349748882289269834000042873343115685127777648213140821306831919026666055325188115184648
2555,15,0.757695,0.477644,0.280051,E,6111082834948646002569963182395605081755191818231404456251309956006713517624050185210581956555130817831510551273313972724429100903601666793864988141775641669345169602
2555,16,0.669349,0.459311,0.210038,E,78173415141905153960799144195999983113282930949669878960252967434001119972172589270
2555,17,0.581003,0.440977,0.140025,E,279595091412394352071671463243584390803353
2555,18,0.632682,0.422644,0.210038,O,147840803409004864355442641741066630525671324059049266676160518
2555,19,0.544336,0.40431,0.140025,E,12158980360581427650036297271757
2555,20,0.596015,0.385977,0.210038,O,42398035628348041706727747268183711654616398454
2555,21,0.507669,0.367643,0.140025,E,205907832848456840113902
2555,22,0.419323,0.34931,0.070013,E,453770683108
2555,23,0.330977,0.330976,0.0,E,673625
2555,24,0.382656,0.312643,0.070013,O,552875436
2555,25,0.294309,0.294309,-0.0,E,23513
