round,target,predecessor,branch,validation_status
6,50,2588,E,ok
6,50,2590,E,ok
6,50,2592,E,ok
6,50,2594,E,ok
6,50,2596,E,ok
6,50,2598,E,ok
6,50,2600,E,ok
6,52,2704,E,ok
6,52,2706,E,ok
6,52,2708,E,ok
6,52,2710,E,ok
6,52,2712,E,ok
6,52,2714,E,ok
6,52,2716,E,ok
6,52,2718,E,ok
6,52,2720,E,ok
6,52,2722,E,ok
6,52,2724,E,ok
6,52,2726,E,ok
6,52,2728,E,ok
6,52,2730,E,ok
6,52,2732,E,ok
6,52,2734,E,ok
6,52,2736,E,ok
6,52,2738,E,ok
6,52,2740,E,ok
6,52,2742,E,ok
6,52,2744,E,ok
6,52,2746,E,ok
6,52,2748,E,ok
6,52,2750,E,ok
6,52,2752,E,ok
6,52,2754,E,ok
6,52,2756,E,ok
6,52,2758,E,ok
6,52,2760,E,ok
6,52,2762,E,ok
6,52,2764,E,ok
6,52,2766,E,ok
6,52,2768,E,ok
6,52,2770,E,ok
6,52,2772,E,ok
6,52,2774,E,ok
6,52,2776,E,ok
6,52,2778,E,ok
6,52,2780,E,ok
6,52,2782,E,ok
6,52,2784,E,ok
6,52,2786,E,ok
6,52,2788,E,ok
6,52,2790,E,ok
6,52,2792,E,ok
6,52,2794,E,ok
6,52,2796,E,ok
6,52,2798,E,ok
6,52,2800,E,ok
6,52,2802,E,ok
6,52,2804,E,ok
6,52,2806,E,ok
6,52,2808,E,ok
6,54,2916,E,ok
6,54,2918,E,ok
6,54,2920,E,ok
6,54,2922,E,ok
6,54,2924,E,ok
6,54,2926,E,ok
6,54,2928,E,ok
6,54,2930,E,ok
6,54,2932,E,ok
6,54,2934,E,ok
6,54,2936,E,ok
6,54,2938,E,ok
6,54,2940,E,ok
6,54,2942,E,ok
6,54,2944,E,ok
6,54,2946,E,ok
6,54,2948,E,ok
6,54,2950,E,ok
6,54,2952,E,ok
6,54,2954,E,ok
6,54,2956,E,ok
6,54,2958,E,ok
6,54,2960,E,ok
6,54,2962,E,ok
6,54,2964,E,ok
6,54,2966,E,ok
6,54,2968,E,ok
