n,target,a,b,r,peak,peak_position,beta_num,beta_den,validation_status
2173,101295,1,0,1,101295,1,3,2,OK
2175,101435,1,0,1,101435,1,3,2,OK
2177,101575,1,0,1,101575,1,3,2,OK
2179,101715,1,0,1,101715,1,3,2,OK
2181,101855,1,0,1,101855,1,3,2,OK
2183,101995,1,0,1,101995,1,3,2,OK
2185,102135,1,0,1,102135,1,3,2,OK
2187,102275,1,0,1,102275,1,3,2,OK
2189,17,1,2,3,102416,1,3,8,OK
2191,17,1,2,3,102556,1,3,8,OK
2193,102697,1,0,1,102697,1,3,2,OK
2195,102837,1,0,1,102837,1,3,2,OK
2197,17,1,2,3,102978,1,3,8,OK
2199,321,1,1,2,103118,1,3,4,OK
2201,103259,1,0,1,103259,1,3,2,OK
2203,321,1,1,2,103400,1,3,4,OK
2205,103541,1,0,1,103541,1,3,2,OK
2207,321,1,1,2,103682,1,3,4,OK
2209,103823,1,0,1,103823,1,3,2,OK
2211,17,1,2,3,103964,1,3,8,OK
2213,104105,1,0,1,104105,1,3,2,OK
2215,17,1,2,3,104246,1,3,8,OK
2217,104387,1,0,1,104387,1,3,2,OK
2219,323,1,1,2,104528,1,3,4,OK
2221,323,1,1,2,104670,1,3,4,OK
2223,104811,1,0,1,104811,1,3,2,OK
2225,104953,1,0,1,104953,1,3,2,OK
2227,1,1,5,6,105094,1,3,64,OK
2229,1,1,5,6,105236,1,3,64,OK
2231,105377,1,0,1,105377,1,3,2,OK
2233,105519,1,0,1,105519,1,3,2,OK
2235,105661,1,0,1,105661,1,3,2,OK
2237,105803,1,0,1,105803,1,3,2,OK
2239,105945,1,0,1,105945,1,3,2,OK
2241,106087,1,0,1,106087,1,3,2,OK
2243,106229,1,0,1,106229,1,3,2,OK
2245,106371,1,0,1,106371,1,3,2,OK
2247,106513,1,0,1,106513,1,3,2,OK
2249,106655,1,0,1,106655,1,3,2,OK
2251,1,1,5,6,106798,1,3,64,OK
2253,327,1,1,2,106940,1,3,4,OK
2255,327,1,1,2,107082,1,3,4,OK
2257,107225,1,0,1,107225,1,3,2,OK
2259,107367,1,0,1,107367,1,3,2,OK
2261,327,1,1,2,107510,1,3,4,OK
2263,107653,1,0,1,107653,1,3,2,OK
2265,107795,1,0,1,107795,1,3,2,OK
2267,1,1,5,6,107938,1,3,64,OK
2269,108081,1,0,1,108081,1,3,2,OK
2271,1,1,5,6,108224,1,3,64,OK
2273,108367,1,0,1,108367,1,3,2,OK
2275,329,1,1,2,108510,1,3,4,OK
2277,108653,1,0,1,108653,1,3,2,OK
2279,329,1,1,2,108796,1,3,4,OK
2281,1,1,5,6,108940,1,3,64,OK
2283,109083,1,0,1,109083,1,3,2,OK
2285,1,1,5,6,109226,1,3,64,OK
2287,1,1,5,6,109370,1,3,64,OK
2289,109513,1,0,1,109513,1,3,2,OK
2291,109657,1,0,1,109657,1,3,2,OK
2293,331,1,1,2,109800,1,3,4,OK
2295,331,1,1,2,109944,1,3,4,OK
2297,331,1,1,2,110088,1,3,4,OK
2299,1,1,5,6,110232,1,3,64,OK
2301,1,1,5,6,110376,1,3,64,OK
2303,1,1,5,6,110520,1,3,64,OK
2305,1,1,5,6,110664,1,3,64,OK
2307,1,1,5,6,110808,1,3,64,OK
2309,333,1,1,2,110952,1,3,4,OK
2311,333,1,1,2,111096,1,3,4,OK
2313,333,1,1,2,111240,1,3,4,OK
2315,333,1,1,2,111384,1,3,4,OK
2317,111529,1,0,1,111529,1,3,2,OK
2319,111673,1,0,1,111673,1,3,2,OK
2321,1,1,5,6,111818,1,3,64,OK
2323,1,1,5,6,111962,1,3,64,OK
2325,112107,1,0,1,112107,1,3,2,OK
2327,335,1,1,2,112252,1,3,4,OK
2329,335,1,1,2,112396,1,3,4,OK
2331,112541,1,0,1,112541,1,3,2,OK
2333,335,1,1,2,112686,1,3,4,OK
2335,112831,1,0,1,112831,1,3,2,OK
2337,1,1,5,6,112976,1,3,64,OK
2339,113121,1,0,1,113121,1,3,2,OK
2341,1,1,5,6,113266,1,3,64,OK
2343,113411,1,0,1,113411,1,3,2,OK
2345,113557,1,0,1,113557,1,3,2,OK
2347,337,1,1,2,113702,1,3,4,OK
2349,113847,1,0,1,113847,1,3,2,OK
2351,113993,1,0,1,113993,1,3,2,OK
2353,337,1,1,2,114138,1,3,4,OK
2355,1,1,5,6,114284,1,3,64,OK
2357,114429,1,0,1,114429,1,3,2,OK
2359,114575,1,0,1,114575,1,3,2,OK
2361,114721,1,0,1,114721,1,3,2,OK
2363,114867,1,0,1,114867,1,3,2,OK
2365,339,1,1,2,115012,1,3,4,OK
2367,339,1,1,2,115158,1,3,4,OK
2369,339,1,1,2,115304,1,3,4,OK
2371,339,1,1,2,115450,1,3,4,OK
2373,115597,1,0,1,115597,1,3,2,OK
2375,115743,1,0,1,115743,1,3,2,OK
2377,115889,1,0,1,115889,1,3,2,OK
2379,116035,1,0,1,116035,1,3,2,OK
2381,1,1,5,6,116182,1,3,64,OK
2383,341,1,1,2,116328,1,3,4,OK
2385,341,1,1,2,116474,1,3,4,OK
2387,116621,1,0,1,116621,1,3,2,OK
2389,341,1,1,2,116768,1,3,4,OK
2391,341,1,1,2,116914,1,3,4,OK
2393,117061,1,0,1,117061,1,3,2,OK
2395,1,1,5,6,117208,1,3,64,OK
2397,117355,1,0,1,117355,1,3,2,OK
2399,1,1,5,6,117502,1,3,64,OK
2401,117649,1,0,1,117649,1,3,2,OK
2403,343,1,1,2,117796,1,3,4,OK
2405,117943,1,0,1,117943,1,3,2,OK
2407,343,1,1,2,118090,1,3,4,OK
2409,118237,1,0,1,118237,1,3,2,OK
2411,1,1,5,6,118384,1,3,64,OK
2413,1,1,5,6,118532,1,3,64,OK
2415,118679,1,0,1,118679,1,3,2,OK
2417,1,1,5,6,118826,1,3,64,OK
2419,1,1,5,6,118974,1,3,64,OK
2421,345,1,1,2,119122,1,3,4,OK
2423,119269,1,0,1,119269,1,3,2,OK
2425,119417,1,0,1,119417,1,3,2,OK
2427,119565,1,0,1,119565,1,3,2,OK
2429,345,1,1,2,119712,1,3,4,OK
2431,1,1,5,6,119860,1,3,64,OK
2433,1,1,5,6,120008,1,3,64,OK
2435,1,1,5,6,120156,1,3,64,OK
2437,1,1,5,6,120304,1,3,64,OK
2439,120453,1,0,1,120453,1,3,2,OK
2441,120601,1,0,1,120601,1,3,2,OK
2443,120749,1,0,1,120749,1,3,2,OK
2445,120897,1,0,1,120897,1,3,2,OK
2447,347,1,1,2,121046,1,3,4,OK
2449,1,1,5,6,121194,1,3,64,OK
2451,121343,1,0,1,121343,1,3,2,OK
2453,121491,1,0,1,121491,1,3,2,OK
2455,1,1,5,6,121640,1,3,64,OK
2457,1,1,5,6,121788,1,3,64,OK
2459,121937,1,0,1,121937,1,3,2,OK
2461,349,1,1,2,122086,1,3,4,OK
2463,122235,1,0,1,122235,1,3,2,OK
2465,349,1,1,2,122384,1,3,4,OK
2467,122533,1,0,1,122533,1,3,2,OK
2469,1,1,5,6,122682,1,3,64,OK
2471,122831,1,0,1,122831,1,3,2,OK
2473,1,1,5,6,122980,1,3,64,OK
2475,123129,1,0,1,123129,1,3,2,OK
2477,351,1,1,2,123278,1,3,4,OK
