root,parent,child,inverse_letter,even_remainder,child_minus_parent,mod3_class,depth,validation_status
227,227,51530,E,1,51303,2,1,ok
227,227,51982,E,453,51755,2,1,ok
228,228,51984,E,0,51756,0,1,ok
228,228,52440,E,456,52212,0,1,ok
229,229,52442,E,1,52213,1,1,ok
229,229,52898,E,457,52669,1,1,ok
230,230,52900,E,0,52670,2,1,ok
230,230,53360,E,460,53130,2,1,ok
231,231,53362,E,1,53131,0,1,ok
231,231,53822,E,461,53591,0,1,ok
232,232,53824,E,0,53592,1,1,ok
232,232,54288,E,464,54056,1,1,ok
233,233,54290,E,1,54057,2,1,ok
233,233,54754,E,465,54521,2,1,ok
234,234,54756,E,0,54522,0,1,ok
234,234,55224,E,468,54990,0,1,ok
235,235,55226,E,1,54991,1,1,ok
235,235,55694,E,469,55459,1,1,ok
236,236,55696,E,0,55460,2,1,ok
236,236,56168,E,472,55932,2,1,ok
237,237,56170,E,1,55933,0,1,ok
237,237,56642,E,473,56405,0,1,ok
238,238,56644,E,0,56406,1,1,ok
238,238,57120,E,476,56882,1,1,ok
239,239,57122,E,1,56883,2,1,ok
239,239,57598,E,477,57359,2,1,ok
240,240,57600,E,0,57360,0,1,ok
240,240,58080,E,480,57840,0,1,ok
241,241,58082,E,1,57841,1,1,ok
241,241,58562,E,481,58321,1,1,ok
242,242,58564,E,0,58322,2,1,ok
242,242,59048,E,484,58806,2,1,ok
243,243,59050,E,1,58807,0,1,ok
243,243,59534,E,485,59291,0,1,ok
243,243,39,O,,-204,0,1,ok
244,244,59536,E,0,59292,1,1,ok
244,244,60024,E,488,59780,1,1,ok
245,245,60026,E,1,59781,2,1,ok
245,245,60514,E,489,60269,2,1,ok
246,246,60516,E,0,60270,0,1,ok
246,246,61008,E,492,60762,0,1,ok
247,247,61010,E,1,60763,1,1,ok
247,247,61502,E,493,61255,1,1,ok
248,248,61504,E,0,61256,2,1,ok
248,248,62000,E,496,61752,2,1,ok
249,249,62002,E,1,61753,0,1,ok
249,249,62498,E,497,62249,0,1,ok
250,250,62500,E,0,62250,1,1,ok
250,250,63000,E,500,62750,1,1,ok
251,251,63002,E,1,62751,2,1,ok
251,251,63502,E,501,63251,2,1,ok
252,252,63504,E,0,63252,0,1,ok
252,252,64008,E,504,63756,0,1,ok
253,253,64010,E,1,63757,1,1,ok
253,253,64514,E,505,64261,1,1,ok
254,254,64516,E,0,64262,2,1,ok
254,254,65024,E,508,64770,2,1,ok
255,255,65026,E,1,64771,0,1,ok
255,255,65534,E,509,65279,0,1,ok
256,256,65536,E,0,65280,1,1,ok
256,256,66048,E,512,65792,1,1,ok
257,257,66050,E,1,65793,2,1,ok
257,257,66562,E,513,66305,2,1,ok
258,258,66564,E,0,66306,0,1,ok
258,258,67080,E,516,66822,0,1,ok
259,259,67082,E,1,66823,1,1,ok
259,259,67598,E,517,67339,1,1,ok
260,260,67600,E,0,67340,2,1,ok
260,260,68120,E,520,67860,2,1,ok
261,261,68122,E,1,67861,0,1,ok
261,261,68642,E,521,68381,0,1,ok
262,262,68644,E,0,68382,1,1,ok
262,262,69168,E,524,68906,1,1,ok
262,262,41,O,,-221,1,1,ok
263,263,69170,E,1,68907,2,1,ok
263,263,69694,E,525,69431,2,1,ok
264,264,69696,E,0,69432,0,1,ok
264,264,70224,E,528,69960,0,1,ok
265,265,70226,E,1,69961,1,1,ok
265,265,70754,E,529,70489,1,1,ok
266,266,70756,E,0,70490,2,1,ok
266,266,71288,E,532,71022,2,1,ok
267,267,71290,E,1,71023,0,1,ok
267,267,71822,E,533,71555,0,1,ok
268,268,71824,E,0,71556,1,1,ok
