n,output,branch,defect,gcd_n_output,gcd_n_defect,gcd_output_defect,exact_equation_class
2506,50,E,6,2,2,2,DELTA_6
2508,50,E,8,2,4,2,DELTA_8
2510,50,E,10,10,10,10,DELTA_10
2512,50,E,12,2,4,2,DELTA_12
2514,50,E,14,2,2,2,DELTA_14
2516,50,E,16,2,4,2,DELTA_16
2601,132651,O,0,2601,2601,132651,SQUARE
2602,51,E,1,1,1,1,DELTA_1
2604,51,E,3,3,3,3,DELTA_3
2606,51,E,5,1,1,1,DELTA_5
2608,51,E,7,1,1,1,DELTA_7
2610,51,E,9,3,9,3,DELTA_9
2612,51,E,11,1,1,1,DELTA_11
2614,51,E,13,1,1,1,DELTA_13
2616,51,E,15,3,3,3,DELTA_15
2704,52,E,0,52,2704,52,SQUARE
2706,52,E,2,2,2,2,DELTA_2
2708,52,E,4,4,4,4,DELTA_4
2710,52,E,6,2,2,2,DELTA_6
2712,52,E,8,4,8,4,DELTA_8
2714,52,E,10,2,2,2,DELTA_10
2716,52,E,12,4,4,4,DELTA_12
2718,52,E,14,2,2,2,DELTA_14
2720,52,E,16,4,16,4,DELTA_16
2809,148877,O,0,2809,2809,148877,SQUARE
2810,53,E,1,1,1,1,DELTA_1
2812,53,E,3,1,1,1,DELTA_3
2814,53,E,5,1,1,1,DELTA_5
2816,53,E,7,1,1,1,DELTA_7
2818,53,E,9,1,1,1,DELTA_9
2820,53,E,11,1,1,1,DELTA_11
2822,53,E,13,1,1,1,DELTA_13
2824,53,E,15,1,1,1,DELTA_15
2916,54,E,0,54,2916,54,SQUARE
2918,54,E,2,2,2,2,DELTA_2
2920,54,E,4,2,4,2,DELTA_4
2922,54,E,6,6,6,6,DELTA_6
2924,54,E,8,2,4,2,DELTA_8
2926,54,E,10,2,2,2,DELTA_10
2928,54,E,12,6,12,6,DELTA_12
2930,54,E,14,2,2,2,DELTA_14
2932,54,E,16,2,4,2,DELTA_16
3025,166375,O,0,3025,3025,166375,SQUARE
3026,55,E,1,1,1,1,DELTA_1
3028,55,E,3,1,1,1,DELTA_3
3030,55,E,5,5,5,5,DELTA_5
3032,55,E,7,1,1,1,DELTA_7
3034,55,E,9,1,1,1,DELTA_9
3036,55,E,11,11,11,11,DELTA_11
3038,55,E,13,1,1,1,DELTA_13
3040,55,E,15,5,5,5,DELTA_15
3136,56,E,0,56,3136,56,SQUARE
3138,56,E,2,2,2,2,DELTA_2
3140,56,E,4,4,4,4,DELTA_4
3142,56,E,6,2,2,2,DELTA_6
3144,56,E,8,8,8,8,DELTA_8
3146,56,E,10,2,2,2,DELTA_10
3148,56,E,12,4,4,4,DELTA_12
3150,56,E,14,14,14,14,DELTA_14
3152,56,E,16,8,16,8,DELTA_16
3249,185193,O,0,3249,3249,185193,SQUARE
3250,57,E,1,1,1,1,DELTA_1
3252,57,E,3,3,3,3,DELTA_3
3254,57,E,5,1,1,1,DELTA_5
3256,57,E,7,1,1,1,DELTA_7
3258,57,E,9,3,9,3,DELTA_9
3260,57,E,11,1,1,1,DELTA_11
3262,57,E,13,1,1,1,DELTA_13
3264,57,E,15,3,3,3,DELTA_15
3364,58,E,0,58,3364,58,SQUARE
3366,58,E,2,2,2,2,DELTA_2
3368,58,E,4,2,4,2,DELTA_4
3370,58,E,6,2,2,2,DELTA_6
3372,58,E,8,2,4,2,DELTA_8
3374,58,E,10,2,2,2,DELTA_10
3376,58,E,12,2,4,2,DELTA_12
3378,58,E,14,2,2,2,DELTA_14
3380,58,E,16,2,4,2,DELTA_16
3481,205379,O,0,3481,3481,205379,SQUARE
3482,59,E,1,1,1,1,DELTA_1
3484,59,E,3,1,1,1,DELTA_3
3486,59,E,5,1,1,1,DELTA_5
3488,59,E,7,1,1,1,DELTA_7
3490,59,E,9,1,1,1,DELTA_9
3492,59,E,11,1,1,1,DELTA_11
3494,59,E,13,1,1,1,DELTA_13
3496,59,E,15,1,1,1,DELTA_15
3600,60,E,0,60,3600,60,SQUARE
3602,60,E,2,2,2,2,DELTA_2
3604,60,E,4,4,4,4,DELTA_4
3606,60,E,6,6,6,6,DELTA_6
3608,60,E,8,4,8,4,DELTA_8
3610,60,E,10,10,10,10,DELTA_10
3612,60,E,12,12,12,12,DELTA_12
3614,60,E,14,2,2,2,DELTA_14
3616,60,E,16,4,16,4,DELTA_16
3721,226981,O,0,3721,3721,226981,SQUARE
3722,61,E,1,1,1,1,DELTA_1
3724,61,E,3,1,1,1,DELTA_3
3726,61,E,5,1,1,1,DELTA_5
3728,61,E,7,1,1,1,DELTA_7
3730,61,E,9,1,1,1,DELTA_9
3732,61,E,11,1,1,1,DELTA_11
3734,61,E,13,1,1,1,DELTA_13
3736,61,E,15,1,1,1,DELTA_15
3844,62,E,0,62,3844,62,SQUARE
3846,62,E,2,2,2,2,DELTA_2
3848,62,E,4,2,4,2,DELTA_4
3850,62,E,6,2,2,2,DELTA_6
3852,62,E,8,2,4,2,DELTA_8
3854,62,E,10,2,2,2,DELTA_10
3856,62,E,12,2,4,2,DELTA_12
3858,62,E,14,2,2,2,DELTA_14
3860,62,E,16,2,4,2,DELTA_16
3969,250047,O,0,3969,3969,250047,SQUARE
3970,63,E,1,1,1,1,DELTA_1
3972,63,E,3,3,3,3,DELTA_3
3974,63,E,5,1,1,1,DELTA_5
3976,63,E,7,7,7,7,DELTA_7
3978,63,E,9,9,9,9,DELTA_9
3980,63,E,11,1,1,1,DELTA_11
3982,63,E,13,1,1,1,DELTA_13
3984,63,E,15,3,3,3,DELTA_15
