n,step,state,branch,floor_output,lower_gap,upper_gap,cell_width,exact_boundary_flag
386,0,386,E,19,25,14,39,0
387,0,387,O,7613,2834,12393,15227,0
388,0,388,E,19,27,12,39,0
389,0,389,O,7672,4285,11060,15345,0
390,0,390,E,19,29,10,39,0
391,0,391,O,7731,8110,7353,15463,0
392,0,392,E,19,31,8,39,0
393,0,393,O,7790,14357,1224,15581,0
394,0,394,E,19,33,6,39,0
395,0,395,O,7850,7375,8326,15701,0
396,0,396,E,19,35,4,39,0
397,0,397,O,7910,2673,13148,15821,0
398,0,398,E,19,37,2,39,0
399,0,399,O,7970,299,15642,15941,0
400,0,400,E,20,0,41,41,1
401,0,401,O,8030,301,15760,16061,0
402,0,402,E,20,2,39,41,0
403,0,403,O,8090,2727,13454,16181,0
404,0,404,E,20,4,37,41,0
405,0,405,O,8150,7625,8676,16301,0
406,0,406,E,20,6,35,41,0
407,0,407,O,8210,15043,1378,16421,0
408,0,408,E,20,8,33,41,0
409,0,409,O,8271,8488,8055,16543,0
410,0,410,E,20,10,31,41,0
411,0,411,O,8332,4307,12358,16665,0
412,0,412,E,20,12,29,41,0
413,0,413,O,8393,2548,14239,16787,0
414,0,414,E,20,14,27,41,0
415,0,415,O,8454,3259,13650,16909,0
416,0,416,E,20,16,25,41,0
417,0,417,O,8515,6488,10543,17031,0
418,0,418,E,20,18,23,41,0
419,0,419,O,8576,12283,4870,17153,0
420,0,420,E,20,20,21,41,0
421,0,421,O,8638,3417,13860,17277,0
422,0,422,E,20,22,19,41,0
423,0,423,O,8699,14366,3033,17399,0
424,0,424,E,20,24,17,41,0
425,0,425,O,8761,10504,7019,17523,0
426,0,426,E,20,26,15,41,0
427,0,427,O,8823,9154,8493,17647,0
428,0,428,E,20,28,13,41,0
429,0,429,O,8885,10364,7407,17771,0
430,0,430,E,20,30,11,41,0
431,0,431,O,8947,14182,3713,17895,0
432,0,432,E,20,32,9,41,0
433,0,433,O,9010,2637,15384,18021,0
434,0,434,E,20,34,7,41,0
435,0,435,O,9072,11691,6454,18145,0
436,0,436,E,20,36,5,41,0
437,0,437,O,9135,5228,13043,18271,0
438,0,438,E,20,38,3,41,0
439,0,439,O,9198,1315,17082,18397,0
440,0,440,E,20,40,1,41,0
441,0,441,O,9261,0,18523,18523,1
442,0,442,E,21,1,42,43,0
443,0,443,O,9324,1331,17318,18649,0
444,0,444,E,21,3,40,43,0
445,0,445,O,9387,5356,13419,18775,0
446,0,446,E,21,5,38,43,0
447,0,447,O,9450,12123,6778,18901,0
448,0,448,E,21,7,36,43,0
449,0,449,O,9514,2653,16376,19029,0
450,0,450,E,21,9,34,43,0
451,0,451,O,9577,14922,4233,19155,0
452,0,452,E,21,11,32,43,0
453,0,453,O,9641,10796,8487,19283,0
454,0,454,E,21,13,30,43,0
455,0,455,O,9705,9350,10061,19411,0
456,0,456,E,21,15,28,43,0
457,0,457,O,9769,10632,8907,19539,0
458,0,458,E,21,17,26,43,0
459,0,459,O,9833,14690,4977,19667,0
460,0,460,E,21,19,24,43,0
461,0,461,O,9898,1777,18020,19797,0
462,0,462,E,21,21,22,43,0
463,0,463,O,9962,11403,8522,19925,0
464,0,464,E,21,23,20,43,0
465,0,465,O,10027,3896,16159,20055,0
466,0,466,E,21,25,18,43,0
467,0,467,O,10091,19282,901,20183,0
468,0,468,E,21,27,16,43,0
469,0,469,O,10156,17373,2940,20313,0
470,0,470,E,21,29,14,43,0
471,0,471,O,10221,18270,2173,20443,0
472,0,472,E,21,31,12,43,0
473,0,473,O,10287,1448,19127,20575,0
474,0,474,E,21,33,10,43,0
475,0,475,O,10352,7971,12734,20705,0
476,0,476,E,21,35,8,43,0
477,0,477,O,10417,17444,3391,20835,0
478,0,478,E,21,37,6,43,0
479,0,479,O,10483,8950,12017,20967,0
480,0,480,E,21,39,4,43,0
481,0,481,O,10549,3240,17859,21099,0
482,0,482,E,21,41,2,43,0
483,0,483,O,10615,362,20869,21231,0
484,0,484,E,22,0,45,45,1
485,0,485,O,10681,364,20999,21363,0
486,0,486,E,22,2,43,45,0
487,0,487,O,10747,3294,18201,21495,0
488,0,488,E,22,4,41,45,0
489,0,489,O,10813,9200,12427,21627,0
490,0,490,E,22,6,39,45,0
491,0,491,O,10879,18130,3629,21759,0
492,0,492,E,22,8,37,45,0
493,0,493,O,10946,8241,13652,21893,0
494,0,494,E,22,10,35,45,0
495,0,495,O,11013,1206,20821,22027,0
496,0,496,E,22,12,33,45,0
497,0,497,O,11079,19232,2927,22159,0
498,0,498,E,22,14,31,45,0
499,0,499,O,11146,18183,4110,22293,0
500,0,500,E,22,16,29,45,0
501,0,501,O,11213,20132,2295,22427,0
502,0,502,E,22,18,27,45,0
503,0,503,O,11281,2566,19997,22563,0
504,0,504,E,22,20,25,45,0
505,0,505,O,11348,10521,12176,22697,0
506,0,506,E,22,22,23,45,0
507,0,507,O,11415,21618,1213,22831,0
508,0,508,E,22,24,21,45,0
509,0,509,O,11483,12940,10027,22967,0
510,0,510,E,22,26,19,45,0
511,0,511,O,11551,7230,15873,23103,0
512,0,512,E,22,28,17,45,0
513,0,513,O,11619,4536,18703,23239,0
514,0,514,E,22,30,15,45,0
515,0,515,O,11687,4906,18469,23375,0
516,0,516,E,22,32,13,45,0
517,0,517,O,11755,8388,15123,23511,0
518,0,518,E,22,34,11,45,0
519,0,519,O,11823,15030,8617,23647,0
520,0,520,E,22,36,9,45,0
521,0,521,O,11892,1097,22688,23785,0
522,0,522,E,22,38,7,45,0
523,0,523,O,11960,14067,9854,23921,0
524,0,524,E,22,40,5,45,0
525,0,525,O,12029,6284,17775,24059,0
526,0,526,E,22,42,3,45,0
527,0,527,O,12098,1579,22618,24197,0
528,0,528,E,22,44,1,45,0
529,0,529,O,12167,0,24335,24335,1
530,0,530,E,23,1,46,47,0
531,0,531,O,12236,1595,22878,24473,0
532,0,532,E,23,3,44,47,0
533,0,533,O,12305,6412,18199,24611,0
534,0,534,E,23,5,42,47,0
535,0,535,O,12374,14499,10250,24749,0
536,0,536,E,23,7,40,47,0
537,0,537,O,12444,1017,23872,24889,0
538,0,538,E,23,9,38,47,0
539,0,539,O,12513,15650,9377,25027,0
540,0,540,E,23,11,36,47,0
541,0,541,O,12583,8532,16635,25167,0
542,0,542,E,23,13,34,47,0
543,0,543,O,12653,4598,20709,25307,0
544,0,544,E,23,15,32,47,0
545,0,545,O,12723,3896,21551,25447,0
546,0,546,E,23,17,30,47,0
547,0,547,O,12793,6474,19113,25587,0
548,0,548,E,23,19,28,47,0
549,0,549,O,12863,12380,13347,25727,0
550,0,550,E,23,21,26,47,0
551,0,551,O,12933,21662,4205,25867,0
552,0,552,E,23,23,24,47,0
553,0,553,O,13004,8361,17648,26009,0
554,0,554,E,23,25,22,47,0
555,0,555,O,13074,24399,1750,26149,0
556,0,556,E,23,27,20,47,0
557,0,557,O,13145,17668,8623,26291,0
558,0,558,E,23,29,18,47,0
559,0,559,O,13216,14223,12210,26433,0
560,0,560,E,23,31,16,47,0
561,0,561,O,13287,14112,12463,26575,0
562,0,562,E,23,33,14,47,0
563,0,563,O,13358,17383,9334,26717,0
564,0,564,E,23,35,12,47,0
565,0,565,O,13429,24084,2775,26859,0
566,0,566,E,23,37,10,47,0
567,0,567,O,13501,7262,19741,27003,0
568,0,568,E,23,39,8,47,0
569,0,569,O,13572,20825,6320,27145,0
570,0,570,E,23,41,6,47,0
571,0,571,O,13644,10675,16614,27289,0
572,0,572,E,23,43,4,47,0
573,0,573,O,13716,3861,23572,27433,0
574,0,574,E,23,45,2,47,0
575,0,575,O,13788,431,27146,27577,0
576,0,576,E,24,0,49,49,1
577,0,577,O,13860,433,27288,27721,0
578,0,578,E,24,2,47,49,0
579,0,579,O,13932,3915,23950,27865,0
580,0,580,E,24,4,45,49,0
581,0,581,O,14004,10925,17084,28009,0
582,0,582,E,24,6,43,49,0
583,0,583,O,14076,21511,6642,28153,0
584,0,584,E,24,8,41,49,0
585,0,585,O,14149,7424,20875,28299,0
586,0,586,E,24,10,39,49,0
587,0,587,O,14221,25162,3281,28443,0
588,0,588,E,24,12,37,49,0
589,0,589,O,14294,18033,10556,28589,0
590,0,590,E,24,14,35,49,0
591,0,591,O,14367,14382,14353,28735,0
592,0,592,E,24,16,33,49,0
593,0,593,O,14440,14257,14624,28881,0
594,0,594,E,24,18,31,49,0
595,0,595,O,14513,17706,11321,29027,0
596,0,596,E,24,20,29,49,0
597,0,597,O,14586,24777,4396,29173,0
598,0,598,E,24,22,27,49,0
599,0,599,O,14660,6199,23122,29321,0
600,0,600,E,24,24,25,49,0
601,0,601,O,14733,20512,8955,29467,0
602,0,602,E,24,26,23,49,0
603,0,603,O,14807,8978,20637,29615,0
604,0,604,E,24,28,21,49,0
605,0,605,O,14881,964,28799,29763,0
606,0,606,E,24,30,19,49,0
607,0,607,O,14954,26427,3482,29909,0
608,0,608,E,24,32,17,49,0
609,0,609,O,15028,25745,4312,30057,0
610,0,610,E,24,34,15,49,0
611,0,611,O,15102,28727,1478,30205,0
612,0,612,E,24,36,13,49,0
613,0,613,O,15177,5068,25287,30355,0
614,0,614,E,24,38,11,49,0
615,0,615,O,15251,15374,15129,30503,0
616,0,616,E,24,40,9,49,0
617,0,617,O,15325,29488,1163,30651,0
618,0,618,E,24,42,7,49,0
619,0,619,O,15400,16659,14142,30801,0
620,0,620,E,24,44,5,49,0
621,0,621,O,15475,7436,23515,30951,0
622,0,622,E,24,46,3,49,0
623,0,623,O,15550,1867,29234,31101,0
624,0,624,E,24,48,1,49,0
625,0,625,O,15625,0,31251,31251,1
626,0,626,E,25,1,50,51,0
627,0,627,O,15700,1883,29518,31401,0
628,0,628,E,25,3,48,51,0
629,0,629,O,15775,7564,23987,31551,0
630,0,630,E,25,5,46,51,0
631,0,631,O,15850,17091,14610,31701,0
632,0,632,E,25,7,44,51,0
633,0,633,O,15925,30512,1339,31851,0
634,0,634,E,25,9,42,51,0
635,0,635,O,16001,15874,16129,32003,0
636,0,636,E,25,11,40,51,0
637,0,637,O,16077,4924,27231,32155,0
638,0,638,E,25,13,38,51,0
639,0,639,O,16152,30015,2290,32305,0
640,0,640,E,25,15,36,51,0
641,0,641,O,16228,26737,5720,32457,0
642,0,642,E,25,17,34,51,0
643,0,643,O,16304,27291,5318,32609,0
644,0,644,E,25,19,32,51,0
645,0,645,O,16380,31725,1036,32761,0
646,0,646,E,25,21,30,51,0
647,0,647,O,16457,7174,25741,32915,0
648,0,648,E,25,23,28,51,0
649,0,649,O,16533,19360,13707,33067,0
650,0,650,E,25,25,26,51,0
651,0,651,O,16610,2351,30870,33221,0
652,0,652,E,25,27,24,51,0
653,0,653,O,16686,22481,10892,33373,0
654,0,654,E,25,29,22,51,0
655,0,655,O,16763,13206,20321,33527,0
656,0,656,E,25,31,20,51,0
657,0,657,O,16840,7793,25888,33681,0
658,0,658,E,25,33,18,51,0
659,0,659,O,16917,6290,27545,33835,0
660,0,660,E,25,35,16,51,0
661,0,661,O,16994,8745,25244,33989,0
662,0,662,E,25,37,14,51,0
663,0,663,O,17071,15206,18937,34143,0
664,0,664,E,25,39,12,51,0
665,0,665,O,17148,25721,8576,34297,0
666,0,666,E,25,41,10,51,0
667,0,667,O,17226,5887,28566,34453,0
668,0,668,E,25,43,8,51,0
669,0,669,O,17303,24500,10107,34607,0
670,0,670,E,25,45,6,51,0
671,0,671,O,17381,12550,22213,34763,0
672,0,672,E,25,47,4,51,0
673,0,673,O,17459,4536,30383,34919,0
